EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
1,28,6,Yes,$24.37 ,40,Salary,50689.6,89,Research,Female,Married,3,7,Mail Check,Yes
2,33,2,Yes,$24.37 ,40,Salary,50689.6,89,Research,Female,Married,6,7,Mail Check,Yes
3,22,1,No,$22.52 ,40,Salary,46841.6,35,Information_Technology,Female,Single,1,8,Mailed Check,Yes
4,23,1,No,$22.52 ,40,Salary,46841.6,35,Information_Technology,Female,Single,3,N/A,Mailed Check,Yes
5,40,6,No,$88.77 ,40,Salary,284641.6,12,Sales,Prefer Not to Answer,Single,7,N/A,Mail Check,Yes
6,45,16,Yes,$88.77 ,40,Salary,284641.6,12,Sales,Prefer Not to Answer,Single,N/A,19,Mail Check,N/A
7,34,6,No,$28.43 ,40,Salary,59134.4,0,Human_Resources,Male,Single,2,23,Mail Check,Yes
8,37,9,Yes,$28.43 ,40,Salary,59134.4,0,Human_Resources,Male,Single,1,25,Mail Check,Yes
9,23,1,No,$21.87 ,40,Salary,45489.6,76,Human_Resources,Female,Single,1,N/A,Mail Check,Yes
10,24,1,Yes,$21.87 ,40,Salary,45489.6,76,Human_Resources,Female,Single,2,9,Mail Check,Yes
11,30,3,Yes,$29.54 ,40,Salary,61443.2,15,Laboratory,Female,Divorced,3,6,Mail Check,Yes
12,34,8,Yes,$29.54 ,40,Salary,61443.2,15,Laboratory,Female,Divorced,1,6,Mail Check,Yes
13,38,4,Yes,$85.24 ,40,Salary,177299.2,2,Research,Male,Single,6,N/A,Mail Check,N/A
14,47,16,Yes,$85.24 ,40,Salary,177299.2,2,Research,Male,Single,5,5,Mail Check,Yes
15,30,2,Yes,$30.42 ,40,Salary,63273.6,36,Information_Technology,Female,Married,2,6,Mailed Check,Yes
16,38,1,No,$30.42 ,40,Salary,63273.6,36,Information_Technology,Female,Married,3,5,Mailed Check,Yes
17,55,20,Yes,$88.50 ,40,Salary,284080,60,Information_Technology,Prefer Not to Answer,Married,7,9,Mail Check,Yes
18,59,16,Yes,$88.50 ,40,Salary,284080,60,Information_Technology,Prefer Not to Answer,Married,5,N/A,Mail Check,Yes
19,29,1,Yes,$24.30 ,40,Salary,50544,2,Sales,Female,Married,1,N/A,Mail Check,Yes
20,35,10,No,$24.30 ,40,Salary,50544,2,Sales,Female,Married,5,15,Mail Check,Yes
21,30,6,No,$26.28 ,40,Salary,54662.4,14,Research,Female,Married,3,N/A,Direct_Deposit,Yes
22,37,7,Yes,$26.28 ,40,Salary,54662.4,14,Research,Female,Married,5,15,Direct_Deposit,Yes
23,44,9,No,$87.22 ,40,Salary,281417.6,75,Manufacturing,Female,Divorced,2,16,Mail Check,Yes
24,54,15,No,$87.22 ,40,Salary,281417.6,75,Manufacturing,Female,Divorced,7,24,Mail Check,Yes
25,36,3,Yes,$87.20 ,40,Salary,281376,5,Research,Female,Married,1,10,DirectDeposit,Yes
26,40,8,No,$87.20 ,40,Salary,281376,5,Research,Female,Married,4,N/A,DirectDeposit,Yes
27,32,6,No,$31.02 ,40,Salary,64521.6,910,Research,Female,Married,1,18,Mailed Check,Yes
28,32,5,No,$31.02 ,40,Salary,64521.6,910,Research,Female,Married,2,11,Mailed Check,Yes
29,41,7,No,$89.40 ,40,Salary,285952,28,Healthcare,Prefer Not to Answer,Single,6,20,Mailed Check,Yes
30,44,18,Yes,$89.40 ,40,Salary,285952,28,Healthcare,Prefer Not to Answer,Single,6,25,Mailed Check,N/A
31,30,1,No,$24.50 ,40,Salary,50960,-4,Human_Resources,Female,Divorced,3,17,Mailed Check,Yes
32,34,2,No,$24.50 ,40,Salary,50960,-4,Human_Resources,Female,Divorced,3,N/A,Mailed Check,Yes
33,38,8,No,$88.78 ,40,Salary,284662.4,0,Laboratory,Prefer Not to Answer,Divorced,1,21,Mail Check,Yes
34,56,8,No,$88.78 ,40,Salary,284662.4,0,Laboratory,Prefer Not to Answer,Divorced,3,25,Mail Check,Yes
35,28,4,No,$25.14 ,40,Salary,52291.2,910,Laboratory,Female,Married,2,12,Mail Check,Yes
36,35,6,Yes,$25.14 ,40,Salary,52291.2,910,Laboratory,Female,Married,6,7,Mail Check,Yes
37,37,5,Yes,$85.44 ,40,Salary,177715.2,33,Sales,Female,Single,6,12,Mail Check,N/A
38,44,10,No,$85.44 ,40,Salary,177715.2,33,Sales,Female,Single,7,19,Mail Check,Yes
39,36,7,No,$29.21 ,40,Salary,60756.8,79,Laboratory,Female,Divorced,2,N/A,Direct_Deposit,Yes
40,37,9,No,$29.21 ,40,Salary,60756.8,79,Laboratory,Female,Divorced,4,22,Direct_Deposit,Yes
41,30,1,No,$23.86 ,40,Salary,49628.8,50,Marketing,Female,Single,1,12,Mail Check,Yes
42,30,8,Yes,$23.86 ,40,Salary,49628.8,50,Marketing,Female,Single,2,21,Mail Check,Yes
43,21,1,Yes,$22.24 ,40,Salary,5259.2,13,Research,Female,Single,3,12,Direct_Deposit,Yes
44,23,1,Yes,$22.24 ,40,Salary,5259.2,13,Research,Female,Married,2,11,Direct_Deposit,Yes
45,36,8,No,$84.70 ,40,Salary,176176,75,Manufacturing,Prefer Not to Answer,Divorced,6,9,Mail Check,Yes
46,45,20,No,$84.70 ,40,Salary,176176,75,Manufacturing,Prefer Not to Answer,Divorced,N/A,9,Mail Check,Yes
47,36,1,Yes,$26.48 ,40,Salary,55078.4,57,Sales,Female,Divorced,6,24,Direct_Deposit,Yes
48,38,3,Yes,$26.48 ,40,Salary,55078.4,57,Sales,Female,Divorced,1,10,Direct_Deposit,Yes
49,36,2,Yes,$28.30 ,40,Salary,58864,82,Sales,Female,Married,2,24,Mail Check,Yes
50,40,8,No,$28.30 ,40,Salary,58864,82,Sales,Female,Married,5,14,Mail Check,Yes
51,27,3,Yes,$22.72 ,40,Salary,47257.6,4,Information_Technology,Male,Single,2,5,Mail Check,Yes
52,32,3,Yes,$22.72 ,40,Salary,47257.6,4,Information_Technology,Male,Single,3,14,Mail Check,Yes
53,44,18,No,$87.00 ,40,Salary,280960,42,Manufacturing,Prefer Not to Answer,Divorced,7,13,Mailed Check,Yes
54,47,9,No,$87.00 ,40,Salary,280960,42,Manufacturing,Prefer Not to Answer,Divorced,1,N/A,Mailed Check,Yes
55,44,16,No,$31.30 ,40,Salary,-15896,-5,Marketing,Male,Divorced,8,22,Mail Check,Yes
56,50,8,No,$31.30 ,40,Salary,-15896,-5,Marketing,Male,Divorced,5,10,Mail Check,Yes
57,31,9,No,$26.33 ,40,Salary,54766.4,60,Healthcare,Male,Single,1,N/A,Mail Check,Yes
58,33,5,Yes,$26.33 ,40,Salary,54766.4,60,Healthcare,Male,Single,3,17,Mail Check,Yes
59,46,16,Yes,$89.35 ,40,Salary,285848,64,Healthcare,Prefer Not to Answer,Single,2,N/A,Mail Check,N/A
60,48,17,Yes,$89.35 ,40,Salary,285848,64,Healthcare,Prefer Not to Answer,Single,1,6,Mail Check,Yes
61,37,8,Yes,$28.66 ,40,Salary,59612.8,33,Marketing,Female,Single,6,N/A,Mailed Check,Yes
62,39,4,Yes,$28.66 ,40,Salary,59612.8,33,Marketing,Female,Single,3,N/A,Mailed Check,Yes
63,33,5,No,$26.14 ,40,Salary,54371.2,36,Manufacturing,Female,Divorced,1,N/A,Mail Check,Yes
64,39,1,No,$26.14 ,40,Salary,54371.2,36,Manufacturing,Female,Divorced,2,11,Mail Check,Yes
65,30,3,Yes,$29.49 ,40,Salary,-28660.8,-8,Marketing,Female,Married,1,19,Mail Check,Yes
66,32,5,Yes,$29.49 ,40,Salary,-28660.8,-8,Marketing,Female,Married,3,8,Mail Check,Yes
67,30,8,No,$24.74 ,40,Salary,51459.2,77,Sales,Male,Divorced,1,21,Mail Check,Yes
68,32,4,No,$24.74 ,40,Salary,51459.2,77,Sales,Male,Divorced,2,8,Mail Check,Yes
69,40,4,Yes,$85.33 ,40,Salary,177486.4,1,Sales,Prefer Not to Answer,Single,9,19,Mail Check,N/A
70,45,16,Yes,$85.33 ,40,Salary,177486.4,1,Sales,Prefer Not to Answer,Single,5,N/A,Mail Check,Yes
71,48,7,No,$85.22 ,40,Salary,177257.6,33,Laboratory,Prefer Not to Answer,Single,8,6,Mail Check,N/A
72,57,5,No,$85.22 ,40,Salary,177257.6,33,Laboratory,Prefer Not to Answer,Single,5,12,Mail Check,Yes
73,28,6,No,$22.80 ,40,Salary,47424,24,Research,Female,Divorced,2,19,Mail Check,Yes
74,28,1,Yes,$22.80 ,40,Salary,47424,24,Research,Female,Divorced,3,18,Mail Check,Yes
75,34,6,No,$28.20 ,40,Salary,58656,12,Sales,Male,Single,4,17,Direct_Deposit,Yes
76,40,4,No,$28.20 ,40,Salary,58656,12,Sales,Male,Single,5,20,Direct_Deposit,Yes
77,30,7,No,$28.10 ,40,Salary,58448,2,Sales,Male,Single,1,12,Mail Check,Yes
78,40,3,Yes,$28.10 ,40,Salary,58448,2,Sales,Male,Single,1,22,Mail Check,Yes
79,34,9,No,$26.59 ,40,Salary,55307.2,67,Information_Technology,Female,Divorced,2,20,Mailed Check,Yes
80,37,3,No,$26.59 ,40,Salary,55307.2,67,Information_Technology,Female,Divorced,3,6,Mailed Check,Yes
81,52,6,No,$89.31 ,40,Salary,285764.8,41,Research,Male,Married,7,N/A,Mail Check,Yes
82,53,9,Yes,$89.31 ,40,Salary,285764.8,41,Research,Male,Married,6,N/A,Mail Check,Yes
83,50,10,No,$88.27 ,40,Salary,283601.6,60,Research,Male,Married,3,12,DirectDeposit,Yes
84,54,17,No,$88.27 ,40,Salary,283601.6,60,Research,Male,Married,6,16,DirectDeposit,Yes
85,53,18,Yes,$31.39 ,40,Salary,65291.2,62,Information_Technology,Female,Divorced,2,25,Mail Check,Yes
86,57,14,Yes,$31.39 ,40,Salary,65291.2,62,Information_Technology,Female,Divorced,9,18,Mail Check,Yes
87,39,7,Yes,$31.39 ,40,Salary,65291.2,47,Information_Technology,Female,Divorced,4,6,Mail Check,Yes
88,55,10,Yes,$31.39 ,40,Salary,65291.2,47,Information_Technology,Female,Divorced,1,N/A,Mail Check,Yes
89,31,9,No,$28.73 ,40,Salary,59758.4,28,Laboratory,Female,Married,1,25,Mail Check,Yes
90,40,1,No,$28.73 ,40,Salary,59758.4,28,Laboratory,Female,Married,6,10,Mail Check,Yes
91,36,9,No,$28.73 ,40,Salary,59758.4,-7,Laboratory,Female,Married,3,11,Mail Check,Yes
92,39,4,No,$28.73 ,40,Salary,59758.4,-7,Laboratory,Female,Married,6,18,Mail Check,Yes
93,44,8,Yes,$48.45 ,40,Salary,100776,76,Marketing,Female,Married,5,12,Mail Check,Yes
94,59,6,Yes,$48.45 ,40,Salary,100776,76,Marketing,Female,Married,7,N/A,Mail Check,Yes
95,48,13,Yes,$85.40 ,40,Salary,177632,31,Research,Male,Single,7,5,Mail Check,N/A
96,54,17,No,$85.40 ,40,Salary,177632,31,Research,Male,Single,2,25,Mail Check,Yes
97,44,6,No,$71.90 ,40,Salary,149552,32,Marketing,Male,Married,6,N/A,Mail Check,Yes
98,58,19,No,$71.90 ,40,Salary,149552,32,Marketing,Male,Married,5,23,Mail Check,Yes
99,48,17,Yes,$71.33 ,40,Salary,148075.2,50,Sales,Prefer Not to Answer,Married,8,8,Mail Check,Yes
100,57,17,No,$71.33 ,40,Salary,148075.2,50,Sales,Prefer Not to Answer,Married,9,22,Mail Check,Yes
101,49,7,No,$65.62 ,40,Salary,136489.6,15,Research,Male,Divorced,6,17,DirectDeposit,Yes
102,52,17,Yes,$65.62 ,40,Salary,136489.6,15,Research,Male,Divorced,1,6,DirectDeposit,Yes
103,37,10,Yes,$56.11 ,40,Salary,116708.8,33,Healthcare,Male,Divorced,1,N/A,Mailed Check,Yes
104,49,7,Yes,$56.11 ,40,Salary,116708.8,33,Healthcare,Male,Divorced,1,22,Mailed Check,Yes
105,44,14,No,$80.12 ,40,Salary,166649.6,56,Human_Resources,Male,Married,1,N/A,Mail Check,Yes
106,59,13,Yes,$80.12 ,40,Salary,166649.6,56,Human_Resources,Male,Married,9,6,Mail Check,Yes
107,34,4,No,$25.71 ,40,Salary,53476.8,32,Marketing,Male,Single,3,17,Direct_Deposit,Yes
108,34,1,No,$25.71 ,40,Salary,53476.8,32,Marketing,Male,Single,5,5,Direct_Deposit,Yes
109,41,6,Yes,$97.05 ,40,Salary,202864,22,Research,Female,Divorced,3,23,Mailed Check,Yes
110,42,3,No,$97.05 ,40,Salary,202864,22,Research,Female,Divorced,5,6,Mailed Check,Yes
111,33,4,Yes,$25.17 ,40,Salary,52353.6,51,Information_Technology,Male,Single,6,14,Direct_Deposit,Yes
112,35,7,Yes,$25.17 ,40,Salary,52353.6,51,Information_Technology,Male,Single,6,25,Direct_Deposit,Yes
113,39,8,Yes,$81.64 ,40,Salary,169811.2,60,Marketing,Male,Divorced,2,17,Mail Check,Yes
114,58,7,No,$81.64 ,40,Salary,169811.2,60,Marketing,Male,Divorced,2,12,Mail Check,Yes
115,44,12,Yes,$40.53 ,40,Salary,84302.4,58,Sales,Female,Married,9,N/A,Mail Check,Yes
116,60,10,No,$40.53 ,40,Salary,84302.4,58,Sales,Female,Married,9,8,Mail Check,Yes
117,31,3,No,$23.42 ,40,Salary,48713.6,-5,Research,Female,Divorced,2,6,Direct Deposit,N/A
118,35,4,Yes,$23.42 ,40,Salary,48713.6,-5,Research,Female,Divorced,4,15,Direct Deposit,Yes
119,37,3,No,$65.52 ,40,Salary,136281.6,36,Healthcare,Female,Married,2,11,Mailed Check,Yes
120,48,19,Yes,$65.52 ,40,Salary,136281.6,36,Healthcare,Female,Married,7,23,Mailed Check,Yes
