CrimeRate,SchoolRating,Price
29.06,6.4,103375.7614
10.64,6.23,316030.1699
0.06,10.0,333690.06
4.16,7.33,122305.3568
32.96,6.04,351798.8598
25.54,6.74,676922.4903
32.61,8.48,277316.3525
32.53,7.09,188922.9338
11.66,6.18,191607.2181
63.03,4.41,180729.6457
20.04,3.37,111788.6598
21.65,7.69,198941.9264
61.01,1.77,239464.1044
49.18,4.63,222228.9304
28.43,4.18,252241.3202
25.07,6.46,155707.1319
73.48,5.39,160019.0332
0.32,8.05,421588.8578
51.91,6.36,152376.5716
30.78,6.74,210733.5129
56.68,5.81,105041.6445
44.31,7.86,216972.8449
6.13,7.89,385041.5546
5.16,7.01,424385.0666
18.63,5.96,335869.6815
42.45,6.47,430556.8472
48.03,5.76,153297.265
34.29,6.29,312456.8833
13.18,5.55,506890.4558
41.17,7.97,390605.9215
50.41,8.49,430310.8257
38.6,7.86,769797.5161
35.27,5.03,256978.3221
26.54,7.83,205562.6791
1.22,4.51,318949.998
13.62,6.84,167546.7668
32.23,8.5,274558.259
24.76,7.0,122660.0682
35.64,10.0,654180.6485
6.59,7.24,121486.5873
26.65,6.3,279893.0825
33.74,7.77,410816.4987
48.52,5.77,490495.3436
20.06,9.68,399436.5842
16.66,6.11,206029.5987
41.79,7.01,222198.5451
22.32,4.64,273015.0238
41.12,8.01,248308.2316
8.22,5.27,353108.2819
25.41,6.11,353173.3423
17.68,9.58,244280.9675
46.63,5.4,191113.1065
26.44,4.85,277617.8096
20.41,8.18,521223.2561
12.0,6.75,103947.6295
44.4,3.51,171418.0448
18.83,8.7,275311.908
12.23,6.75,333708.0442
59.26,5.66,306202.9736
70.17,5.97,180247.7314
49.94,6.58,397236.8931
46.92,8.99,160304.1753
61.26,7.0,682875.7818
6.83,5.72,393215.7564
42.58,6.9,166673.7965
45.26,7.41,630994.2869
0.78,6.81,360053.6851
21.78,7.81,478799.9918
20.27,5.46,230289.9546
7.24,1.35,307315.345
47.96,4.01,528618.8707
19.26,8.7,98378.32224
49.62,4.86,692732.5812
36.72,4.07,422653.6677
23.52,5.67,606809.1906
17.39,5.66,257544.0629
41.11,8.56,334199.9353
16.2,5.49,284255.1623
12.69,6.36,108250.9154
11.39,6.62,138047.5627
29.8,6.09,234564.8609
43.84,5.24,252944.9569
68.22,6.01,170641.265
40.51,9.17,455997.1118
0.41,10.0,779931.8759
11.73,6.06,211883.045
13.03,10.0,370207.3866
2.7,8.18,235334.2782
27.16,6.97,207397.7233
30.16,4.86,633005.2522
40.12,8.5,646806.3598
36.23,9.46,220143.6872
62.53,5.8,224349.0624
22.17,6.8,137212.5389
16.52,9.84,254020.7906
69.15,7.41,216351.837
47.86,10.0,247083.9187
5.95,6.04,109758.7827
32.85,7.61,146397.9284
57.18,4.73,173722.5743
44.64,6.96,204115.2013
7.87,8.59,260976.6665
43.25,6.06,395125.7018
11.07,8.32,497692.5176
4.54,9.13,535835.6644
73.02,6.1,226768.2603
29.57,5.44,310305.5598
47.32,7.61,276203.9201
40.12,7.75,331247.0143
58.99,6.62,374402.1233
36.08,5.08,259757.602
19.21,5.34,118735.8676
36.67,8.86,280920.0402
32.39,7.37,202463.8609
52.88,7.22,543193.7648
16.84,5.86,410357.2197
30.84,6.58,173809.6441
25.79,4.32,217171.6912
22.63,9.05,389877.9007
2.78,9.57,208419.3752
26.18,9.92,370495.3218
49.0,4.22,103212.0744
39.45,5.21,127574.0886
10.18,6.32,166450.4353
51.17,5.86,309631.4746
14.46,9.76,196204.535
18.19,6.74,249538.9243
8.75,10.0,799996.2481
12.43,7.92,544763.5776
64.24,8.76,312296.6703
6.9,3.86,164903.4879
5.04,6.73,182897.1964
55.85,7.33,375795.8439
8.63,7.28,150830.2384
41.57,6.49,98879.35132
32.57,5.11,304631.685
46.13,7.36,225726.3565
42.44,3.19,155684.9643
43.05,4.2,299223.8467
54.19,5.77,415007.0335
67.75,5.86,142240.2358
8.28,6.29,374959.758
15.76,7.53,229519.262
35.22,10.0,255087.7075
8.65,6.0,379489.2465
12.46,8.32,216757.3556
22.66,6.29,160474.9654
28.99,6.48,253375.0876
12.9,5.77,254400.6244
74.47,3.21,120748.6048
21.49,6.51,210881.4665
31.81,7.53,308427.1324
32.25,8.38,655324.1759
29.5,10.0,969059.6957
34.46,7.19,461748.4582
68.61,7.11,233971.9901
56.05,10.0,748256.0279
3.54,8.65,227469.3042
59.67,8.94,319230.5488
35.05,6.82,136281.9799
36.6,6.35,362981.6337
21.92,8.44,284596.5952
21.72,7.22,241041.2506
36.94,4.98,149161.886
73.03,7.81,276656.5065
10.14,8.7,410697.6667
28.7,6.14,353477.4283
23.44,8.39,356183.7097
23.31,10.0,798826.0426
67.53,4.71,222852.3977
55.69,8.92,249815.1871
59.04,8.28,166987.0495
53.61,6.23,145718.0224
14.42,8.41,217954.655
24.88,7.96,442071.1893
0.56,9.53,319396.2929
10.33,7.4,404764.9182
0.92,10.0,720948.6752
28.13,6.09,151561.3852
0.66,7.3,129968.5095
33.79,9.61,280525.7092
40.65,7.38,358729.7227
13.31,7.65,704512.7722
57.37,8.02,470238.5325
27.49,6.52,284396.0632
54.16,8.53,455562.132
5.1,10.0,448231.5409
32.63,5.92,261273.8014
28.31,6.26,274343.871
33.56,5.16,354094.8412
8.29,8.23,110505.7101
4.18,4.31,171977.7174
28.25,5.74,178009.8491
12.46,5.02,130890.354
6.93,8.27,271626.442
23.15,10.0,249751.8563
29.58,3.46,101762.9942
19.99,6.48,401584.651
30.02,5.32,207601.5597
56.31,5.28,165832.1784
24.06,7.94,370626.9651
49.15,3.14,229867.2818
7.12,8.2,261299.0612
